[19:33:43.310] [INFO   ] thread main starting.
[19:33:43.316] [SEVERE ] cannot read configuration file config.properties trying from resources.
[19:33:43.316] [SEVERE ] configuration file was loaded from resources directory.
[19:33:43.872] [INFO   ] thread dealer starting.
[19:33:43.987] [SEVERE ] placing card 24 in slot 0
[19:33:44.110] [SEVERE ] placing card 66 in slot 1
[19:33:44.212] [SEVERE ] placing card 46 in slot 2
[19:33:44.318] [SEVERE ] placing card 65 in slot 3
[19:33:44.429] [SEVERE ] placing card 14 in slot 4
[19:33:44.537] [SEVERE ] placing card 40 in slot 5
[19:33:44.644] [SEVERE ] placing card 51 in slot 6
[19:33:44.791] [SEVERE ] placing card 70 in slot 7
[19:33:44.903] [SEVERE ] placing card 60 in slot 8
[19:33:45.010] [SEVERE ] placing card 18 in slot 9
[19:33:45.120] [SEVERE ] placing card 29 in slot 10
[19:33:45.231] [SEVERE ] placing card 49 in slot 11
[19:33:53.500] [SEVERE ] key 82 was pressed by player 1
[19:33:53.500] [SEVERE ] player 1 placing token on slot 3
[19:33:58.431] [SEVERE ] key 87 was pressed by player 1
[19:33:58.431] [SEVERE ] player 1 placing token on slot 1
[19:33:58.653] [SEVERE ] key 69 was pressed by player 1
[19:33:58.653] [SEVERE ] player 1 placing token on slot 2
[19:33:58.752] [SEVERE ] key 82 was pressed by player 1
[19:33:58.752] [SEVERE ] removing player 1 token from slot 3
[19:34:05.933] [SEVERE ] key 80 was pressed by player 2
[19:34:05.933] [SEVERE ] player 2 placing token on slot 3
[19:34:06.379] [SEVERE ] key 79 was pressed by player 2
[19:34:06.379] [SEVERE ] player 2 placing token on slot 2
[19:34:06.819] [SEVERE ] key 80 was pressed by player 2
[19:34:06.819] [SEVERE ] removing player 2 token from slot 3
[19:34:07.860] [SEVERE ] key 80 was pressed by player 2
[19:34:07.860] [SEVERE ] player 2 placing token on slot 3
[19:34:08.143] [SEVERE ] key 80 was pressed by player 2
[19:34:08.143] [SEVERE ] removing player 2 token from slot 3
[19:34:08.459] [SEVERE ] key 80 was pressed by player 2
[19:34:08.460] [SEVERE ] player 2 placing token on slot 3
[19:34:08.889] [SEVERE ] key 80 was pressed by player 2
[19:34:08.889] [SEVERE ] removing player 2 token from slot 3
[19:34:09.094] [SEVERE ] key 80 was pressed by player 2
[19:34:09.094] [SEVERE ] player 2 placing token on slot 3
[19:34:09.316] [SEVERE ] key 80 was pressed by player 2
[19:34:09.316] [SEVERE ] removing player 2 token from slot 3
[19:34:09.534] [SEVERE ] key 80 was pressed by player 2
[19:34:09.534] [SEVERE ] player 2 placing token on slot 3
[19:34:09.810] [SEVERE ] key 80 was pressed by player 2
[19:34:09.810] [SEVERE ] removing player 2 token from slot 3
[19:34:11.305] [SEVERE ] key 79 was pressed by player 2
[19:34:11.305] [SEVERE ] removing player 2 token from slot 2
[19:34:12.210] [SEVERE ] key 80 was pressed by player 2
[19:34:12.210] [SEVERE ] player 2 placing token on slot 3
[19:34:12.660] [SEVERE ] key 79 was pressed by player 2
[19:34:12.660] [SEVERE ] player 2 placing token on slot 2
[19:34:13.065] [SEVERE ] key 73 was pressed by player 2
[19:34:13.065] [SEVERE ] player 2 placing token on slot 1
[19:34:13.839] [SEVERE ] key 73 was pressed by player 2
[19:34:13.839] [SEVERE ] removing player 2 token from slot 1
[19:34:14.326] [SEVERE ] key 73 was pressed by player 2
[19:34:14.326] [SEVERE ] player 2 placing token on slot 1
[19:34:14.634] [SEVERE ] key 73 was pressed by player 2
[19:34:14.634] [SEVERE ] removing player 2 token from slot 1
[19:34:14.891] [SEVERE ] key 73 was pressed by player 2
[19:34:14.891] [SEVERE ] player 2 placing token on slot 1
[19:34:15.236] [SEVERE ] key 79 was pressed by player 2
[19:34:15.236] [SEVERE ] removing player 2 token from slot 2
[19:34:15.570] [SEVERE ] key 73 was pressed by player 2
[19:34:15.570] [SEVERE ] removing player 2 token from slot 1
[19:34:15.851] [SEVERE ] key 73 was pressed by player 2
[19:34:15.852] [SEVERE ] player 2 placing token on slot 1
[19:34:16.081] [SEVERE ] key 73 was pressed by player 2
[19:34:16.081] [SEVERE ] removing player 2 token from slot 1
[19:34:16.312] [SEVERE ] key 73 was pressed by player 2
[19:34:16.312] [SEVERE ] player 2 placing token on slot 1
[19:34:16.557] [SEVERE ] key 73 was pressed by player 2
[19:34:16.557] [SEVERE ] removing player 2 token from slot 1
[19:34:16.811] [SEVERE ] key 73 was pressed by player 2
[19:34:16.812] [SEVERE ] player 2 placing token on slot 1
[19:34:17.031] [SEVERE ] key 73 was pressed by player 2
[19:34:17.031] [SEVERE ] removing player 2 token from slot 1
[19:34:17.207] [SEVERE ] key 73 was pressed by player 2
[19:34:17.207] [SEVERE ] player 2 placing token on slot 1
[19:34:17.496] [SEVERE ] key 73 was pressed by player 2
[19:34:17.496] [SEVERE ] removing player 2 token from slot 1
[19:34:17.683] [SEVERE ] key 73 was pressed by player 2
[19:34:17.683] [SEVERE ] player 2 placing token on slot 1
